BookCode,clean_text,Sentiment,Sentiment_Score
22979,andi veri happi packag great realli look like clow book wish would put insert oh well great anyway set hope respect origin color sakura book one last note pleas amazon lower price set wa first launch pre releas price wa like first set never knew case befor wich price go befor actual releas well unfortun not abl buy form amazon not lower price least buck well anyway thank great great great oversea servic amazon,Positive,0.9922
22979,ohitika woman true confess life american women never live wound knee washington rag rich love heartbreak mari brave bird talk open life proud lakota woman defend best interest peopl best way know talk honest life grow poor indian reserv proud time american indian movement dure seig wond knee dure massiv red movement remark head strong woman ha live life way even incred odd enjoy wa endur strength need succeed never give true winner true success book american ohitika woman ha someth teach u nativ canadian great admir overwhelm courag strength passion fight belief,Positive,0.9944
22979,wa look contextu read help bring bibl life feel like magic sometim peopl seem like charact not peopl share earth well book novel luke whether fiction part true move real love struggl love emot physician back close emot physician today seem human clear bless call god love human ness god god love misunderstood god conflict feel life love god understand patienc gentl love cross path peopl former know charact bibl not sure type impact someon not physician one veri ordinari one compar luke best book ever read,Positive,0.9942
22979,christina show world great vocal talent ha debuet album made two singl great remix album great cannot stop push repeat button knew could sing brilliant english wow spanish album great ha amaz vocal great tune load album sizzal salsa number beauti balad album wa much excpect mean knew would great terrif album ha alreadi debud number latin top billboard chart billboard top must christina fan wiether not speak english spanish,Positive,0.9938
22979,love book though differ remind ghost moon wa first karen robard book ever read love total fell love joe welch oh gosh joe wish knew joe welch love way treat kid love way love alex wish well anyway thought wa great read onli reason not give star becaus decid give mani book star would say star realli favorit star mayb star linda howard night love karen robard love everyth write,Positive,0.9935
84987,ask littl guy charact like best said meteor meteor big one ha wheel blue monster truck love jesus later built version meteor lego complet super cool wheel right turn race includ episod episod ha lesson bibl vers go along like one episod john confess sin faith forgiv u sin cleans u unright right turn race good minut long super fun appropri kiddo age son love anoth seri studio knew would love son daughter ani child life like lightn mcqueen car high suggest monster truck adventur even better becaus like littl guy said truck love jesus,Positive,0.9938
84987,king wind excit stori love marguerit idea must love hors verryy much mom grew farm hors name king wa babi love veri much wa born mom introduc hors fell love move thought friend left behind along book anim love friend kourtney knew love hors told read misti chincoteagu probobl spell wrong love start look book found king wind read book report wa real joy marguit realli know hors realli effection person love write hors support need keep dream aliv like stori love hors,Positive,0.9949
84987,review known god fail k whirligig four fourteen let rock roll never die girl moon sweet fallon expresso love enter sandman kid napa beatl suck napa vs san diego ca heavi fuel wait girl like dust n bone g n r god far away telegraph road maci rockaway opinion great band like pink floyd led zeppelin roll stone not requiredi love stone amongst greatest rock band ever made countless number great album includ one high recommend album fantast buy themth stone great stone great stone great stone great stone great stone great stone great stone great stone great ignor previous review avoid lame lousi overr stupid band like foreign buy wall abbey road back black great album thank,Positive,0.9964
84987,perhap everi great novelist ha one truli great novel grape wrath outstand east eden steinbeck best novel one five greatest novel ever written opinion not onli doe steinbeck make genesi chapter centerpiec novel liter wager success novel one hebrew word found genesi chapter timshel thou mayest steinbeck win wager actual break casino vega base novel around timshel book stun work achiev enjoy fiction love east eden,Positive,0.9931
84987,love book furthest person artist think love draw child like diddl exercis love freedom author give not art look like everyon els take lot convinc person like art express self doe not need mimic rule societi good art great art enjoy creat art also grandchild want instil love creation not die adulthood believ art import express self never abandon,Positive,0.9918
